epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1968.67,0.78562,0.39001,0.95421,0.98068,0.972,0.98542,0.77972,0.93073,0.39477,1.00102,0.0002972,0.0002972,0.0002972
88,1989.99,0.74537,0.37716,0.94747,0.97985,0.97269,0.98805,0.78967,0.91361,0.39878,0.99593,0.0002774,0.0002774,0.0002774
89,2011.62,0.74335,0.3759,0.94506,0.97852,0.97193,0.98771,0.79329,0.92541,0.38685,0.99849,0.0002576,0.0002576,0.0002576
90,2034.47,0.76226,0.38333,0.95726,0.97715,0.96952,0.98422,0.78057,0.94028,0.39492,1.00127,0.0002378,0.0002378,0.0002378
91,2054.1,0.72856,0.35384,0.94946,0.97917,0.96933,0.98377,0.77774,0.92566,0.38904,1.00062,0.000218,0.000218,0.000218
92,2073.9,0.70797,0.35532,0.93847,0.98247,0.9716,0.98618,0.77904,0.93312,0.39859,0.99962,0.0001982,0.0001982,0.0001982
93,2093.35,0.68118,0.34221,0.92325,0.98415,0.972,0.98738,0.78417,0.90633,0.3943,0.99682,0.0001784,0.0001784,0.0001784
94,2112.83,0.71694,0.35224,0.93752,0.98402,0.96933,0.98633,0.78675,0.90592,0.39111,0.99569,0.0001586,0.0001586,0.0001586
95,2132.33,0.69168,0.34286,0.93506,0.98199,0.97067,0.98715,0.78164,0.91955,0.38781,0.99629,0.0001388,0.0001388,0.0001388
96,2151.77,0.68949,0.34508,0.93167,0.98382,0.97275,0.98764,0.7897,0.90834,0.38747,0.99534,0.000119,0.000119,0.000119
97,2171.2,0.66172,0.33127,0.91925,0.98805,0.97333,0.9886,0.78919,0.91014,0.38506,0.99398,9.92e-05,9.92e-05,9.92e-05
98,2190.72,0.67606,0.33697,0.92354,0.98649,0.97351,0.98868,0.78624,0.90749,0.38148,0.9942,7.94e-05,7.94e-05,7.94e-05
99,2211.91,0.66971,0.33454,0.92368,0.98649,0.97324,0.98772,0.78809,0.90848,0.38353,0.99607,5.96e-05,5.96e-05,5.96e-05
100,2233.76,0.66401,0.32947,0.92261,0.98784,0.97487,0.98884,0.7904,0.90129,0.38293,0.99521,3.98e-05,3.98e-05,3.98e-05
